Time,X,Y,Z
6.05004,370.488,370.488,123.964
6.06004,371.1,371.1,123.87
6.07004,371.713,371.713,123.775
6.08004,372.325,372.325,123.679
6.09004,372.938,372.938,123.582
6.10004,373.55,373.55,123.484
6.11004,374.162,374.162,123.386
6.12005,374.775,374.775,123.286
6.13005,375.387,375.387,123.185
6.14005,376,375.999,123.083
6.15005,376.612,376.612,122.98
6.16005,377.224,377.224,122.876
6.17005,377.837,377.837,122.772
6.18005,378.449,378.449,122.666
6.19005,379.061,379.061,122.559
6.20005,379.674,379.674,122.451
6.21005,380.286,380.286,122.343
6.22005,380.899,380.899,122.233
6.23005,381.511,381.511,122.122
6.24005,382.123,382.123,122.01
6.25005,382.736,382.736,121.898
6.26005,383.348,383.348,121.784
6.27005,383.961,383.961,121.67
6.28005,384.573,384.573,121.554
6.29005,385.185,385.185,121.438
6.30005,385.798,385.798,121.32
6.31005,386.41,386.41,121.201
6.32005,387.022,387.022,121.082
6.33005,387.635,387.635,120.961
6.34005,388.247,388.247,120.84
6.35005,388.86,388.86,120.717
6.36005,389.472,389.472,120.594
6.37005,390.084,390.084,120.47
6.38005,390.697,390.697,120.344
6.39005,391.309,391.309,120.218
6.40005,391.922,391.922,120.091
6.41005,392.534,392.534,119.962
6.42005,393.146,393.146,119.833
6.43005,393.759,393.759,119.703
6.44005,394.371,394.371,119.571
6.45005,394.984,394.983,119.439
6.46005,395.596,395.596,119.306
6.47005,396.208,396.208,119.172
6.48005,396.821,396.821,119.036
6.49005,397.433,397.433,118.9
6.50005,398.045,398.045,118.763
6.51005,398.658,398.658,118.625
6.52005,399.27,399.27,118.486
6.53005,399.883,399.883,118.346
6.54005,400.495,400.495,118.204
6.55006,401.107,401.107,118.062
6.56006,401.72,401.72,117.919
6.57006,402.332,402.332,117.775
6.58006,402.945,402.944,117.63
6.59006,403.557,403.557,117.484
6.60006,404.169,404.169,117.337
6.61006,404.782,404.782,117.189
6.62006,405.394,405.394,117.04
6.63006,406.006,406.006,116.891
6.64006,406.619,406.619,116.74
6.65006,407.231,407.231,116.588
6.66006,407.844,407.844,116.435
6.67006,408.456,408.456,116.281
6.68006,409.068,409.068,116.126
6.69006,409.681,409.681,115.97
6.70006,410.293,410.293,115.814
6.71006,410.906,410.906,115.656
6.72006,411.518,411.518,115.497
6.73006,412.13,412.13,115.337
6.74006,412.743,412.743,115.177
6.75006,413.355,413.355,115.015
6.76006,413.967,413.967,114.852
6.77006,414.58,414.58,114.689
6.78006,415.192,415.192,114.524
6.79006,415.805,415.805,114.358
6.80006,416.417,416.417,114.192
6.81006,417.029,417.029,114.024
6.82006,417.642,417.642,113.856
6.83006,418.254,418.254,113.686
6.84006,418.867,418.867,113.516
6.85006,419.479,419.479,113.344
6.86006,420.091,420.091,113.172
6.87006,420.704,420.704,112.998
6.88006,421.316,421.316,112.824
6.89006,421.929,421.928,112.648
6.90006,422.541,422.541,112.472
6.91006,423.153,423.153,112.294
6.92006,423.766,423.766,112.116
6.93006,424.378,424.378,111.937
6.94006,424.99,424.99,111.756
6.95006,425.603,425.603,111.575
6.96006,426.215,426.215,111.393
6.97006,426.828,426.828,111.209
6.98006,427.44,427.44,111.025
6.99007,428.052,428.052,110.84
7.00007,428.665,428.665,110.654
7.01007,429.277,429.277,110.467
7.02007,429.89,429.889,110.278
7.03007,430.502,430.502,110.089
7.04007,431.114,431.114,109.899
7.05007,431.727,431.727,109.708
7.06007,432.339,432.339,109.516
7.07007,432.951,432.951,109.323
7.08007,433.564,433.564,109.129
7.09007,434.176,434.176,108.934
7.10007,434.789,434.789,108.738
7.11007,435.401,435.401,108.541
7.12007,436.013,436.013,108.343
7.13007,436.626,436.626,108.144
7.14007,437.238,437.238,107.944
7.15007,437.851,437.851,107.743
7.16007,438.463,438.463,107.541
7.17007,439.075,439.075,107.338
7.18007,439.688,439.688,107.134
7.19007,440.3,440.3,106.929
7.20007,440.913,440.912,106.723
7.21007,441.525,441.525,106.517
7.22007,442.137,442.137,106.309
7.23007,442.75,442.75,106.1
7.24007,443.362,443.362,105.89
7.25007,443.974,443.974,105.679
7.26007,444.587,444.587,105.468
7.27007,445.199,445.199,105.255
7.28007,445.812,445.812,105.041
7.29007,446.424,446.424,104.827
7.30007,447.036,447.036,104.611
7.31007,447.649,447.649,104.394
7.32007,448.261,448.261,104.177
7.33007,448.874,448.873,103.958
7.34007,449.486,449.486,103.739
7.35007,450.098,450.098,103.518
7.36007,450.711,450.711,103.296
7.37007,451.323,451.323,103.074
7.38007,451.935,451.935,102.85
7.39007,452.548,452.548,102.626
7.40007,453.16,453.16,102.4
7.41007,453.773,453.773,102.174
7.42007,454.385,454.385,101.947
7.43008,454.997,454.997,101.718
7.44008,455.61,455.61,101.489
7.45008,456.222,456.222,101.258
7.46008,456.835,456.835,101.027
7.47008,457.447,457.447,100.795
7.48008,458.059,458.059,100.561
7.49008,458.672,458.672,100.327
7.50008,459.284,459.284,100.092
7.51008,459.897,459.896,99.8557
7.52008,460.509,460.509,99.6184
7.53008,461.121,461.121,99.3802
7.54008,461.734,461.734,99.141
7.55008,462.346,462.346,98.9008
7.56008,462.958,462.958,98.6597
7.57008,463.571,463.571,98.4175
7.58008,464.183,464.183,98.1744
7.59008,464.796,464.796,97.9303
7.60008,465.408,465.408,97.6852
7.61008,466.02,466.02,97.4391
7.62008,466.633,466.633,97.1921
7.63008,467.245,467.245,96.9441
7.64008,467.858,467.857,96.6951
7.65008,468.47,468.47,96.4451
7.66008,469.082,469.082,96.1941
7.67008,469.695,469.695,95.9422
7.68008,470.307,470.307,95.6892
7.69008,470.919,470.919,95.4353
7.70008,471.532,471.532,95.1804
7.71008,472.144,472.144,94.9246
7.72008,472.757,472.757,94.6677
7.73008,473.369,473.369,94.4099
7.74008,473.981,473.981,94.151
7.75008,474.594,474.594,93.8912
7.76008,475.206,475.206,93.6305
7.77008,475.819,475.818,93.3687
7.78008,476.431,476.431,93.106
7.79008,477.043,477.043,92.8423
7.80008,477.656,477.656,92.5775
7.81008,478.268,478.268,92.3118
7.82008,478.88,478.88,92.0452
7.83008,479.493,479.493,91.7775
7.84008,480.105,480.105,91.5089
7.85008,480.718,480.718,91.2393
7.86009,481.33,481.33,90.9687
7.87009,481.942,481.942,90.6972
7.88009,482.555,482.555,90.4246
7.89009,483.167,483.167,90.1511
7.90009,483.78,483.78,89.8766
7.91009,484.392,484.392,89.601
7.92009,485.004,485.004,89.3246
7.93009,485.617,485.617,89.0471
7.94009,486.229,486.229,88.7686
7.95009,486.842,486.841,88.4893
7.96009,487.454,487.454,88.2088
7.97009,488.066,488.066,87.9275
7.98009,488.679,488.679,87.6451
7.99009,489.291,489.291,87.3618
8.00009,489.903,489.903,87.0775
8.01009,490.516,490.516,86.7921
8.02009,491.128,491.128,86.5058
8.03009,491.741,491.741,86.2186
8.04009,492.353,492.353,85.9303
8.05009,492.965,492.965,85.6411
8.06009,493.578,493.578,85.3509
8.07009,494.19,494.19,85.0597
8.08009,494.803,494.802,84.7676
8.09009,495.415,495.415,84.4744
